city,lat,lng,country,code,population
Dagupan,16.0479,120.3408,Philippines,PHL,163676
Myingyan,21.4618,95.3914,Burma,MMR,163812
Phitsanulok,16.8283,100.2729,Thailand,THA,164017
Peoria,33.7844,-112.2989,United States,USA,164173
Pizen,49.7404,13.36,Czechia,CZE,164180
Kigoma,-4.8796,29.61,Tanzania,TZA,164268
Regensburg,49.0204,12.12,Germany,DEU,164359
Zenica,44.22,17.92,Bosnia And Herzegovina,BIH,164423
Sitapur,27.63,80.75,India,IND,164435
Leon,12.4356,-86.8794,Nicaragua,NIC,164441
Fredericksburg,38.2992,-77.4871,United States,USA,164610
Lajes,-27.8096,-50.31,Brazil,BRA,164676
Serang,-6.11,106.1496,Indonesia,IDN,164767
Nantou,23.9167,120.6833,Taiwan,TWN,165000
Elbasan,41.1215,20.0838,Albania,ALB,165010
Ocala,29.1803,-82.1487,United States,USA,165111
Kimberley,-28.7468,24.77,South Africa,ZAF,165264
Kendari,-3.9553,122.5973,Indonesia,IDN,165377
Ha Tinh,18.3338,105.9,Vietnam,VNM,165396
Livingstone,-17.86,25.86,Zambia,ZMB,165480
Tulua,4.0904,-76.21,Colombia,COL,165501
Carpina,-7.84,-35.26,Brazil,BRA,165579
Norilsk,69.34,88.225,Russia,RUS,165873
Rustenburg,-25.65,27.24,South Africa,ZAF,165976
Parma,44.8104,10.32,Italy,ITA,166011
San Fernando,10.2805,-61.4594,Trinidad And Tobago,TTO,166039
Ocumare del Tuy,10.12,-66.78,Venezuela,VEN,166072
Maraba,-5.35,-49.116,Brazil,BRA,166182
Reykjavik,64.15,-21.95,Iceland,ISL,166212
Ayacucho,-13.175,-74.22,Peru,PER,166314
Dibrugarh,27.4833,94.9,India,IND,166366
Fatehpur,25.8804,80.8,India,IND,166480
Gonaives,19.4504,-72.6832,Haiti,HTI,166678
Corona,33.8623,-117.5642,United States,USA,166785
Novocherkassk,47.42,40.08,Russia,RUS,166974
Benha,30.4667,31.1833,Egypt,EGY,167029
Abakan,53.7037,91.445,Russia,RUS,167289
Oldenburg,53.13,8.22,Germany,DEU,167458
Miass,54.9954,60.0949,Russia,RUS,167500
Ormac,11.0643,124.6075,Philippines,PHL,167584
Volgodonsk,47.51,42.1599,Russia,RUS,167731
Berezniki,59.42,56.76,Russia,RUS,167748
Chirchiq,41.455,69.56,Uzbekistan,UZB,167842
Jamalpur,24.9004,89.95,Bangladesh,BGD,167900
Medford,42.3372,-122.8537,United States,USA,167922
Baramula,34.2004,74.35,India,IND,167986
Nzerekore,7.76,-8.83,Guinea,GIN,168121
Hindupur,13.7804,77.49,India,IND,168312
Wurzburg,49.8004,9.95,Germany,DEU,168561
Pembroke Pines,26.0127,-80.3384,United States,USA,168587
Atbara,17.71,33.98,Sudan,SDN,168612
Baranavichy,53.1368,26.0134,Belarus,BLR,168772
Sonsonate,13.72,-89.73,El Salvador,SLV,168947
Bandar-e Bushehr,28.92,50.83,Iran,IRN,169060
Arad,46.17,21.32,Romania,ROU,169065
Medinipur,22.3304,87.15,India,IND,169127
Sarh,9.15,18.39,Chad,TCD,169196
Jayapura,-2.533,140.7,Indonesia,IDN,169341
Barra Mansa,-22.56,-44.17,Brazil,BRA,169386
Al Marj,32.5005,20.83,Libya,LBY,169540
Nimes,43.8304,4.35,France,FRA,169547
Elk Grove,38.416,-121.3841,United States,USA,169743
Nampa,43.5833,-116.5641,United States,USA,169761
Keluang,2.0383,103.3179,Malaysia,MYS,169828
Dijon,47.3304,5.03,France,FRA,169946
Cacak,43.8897,20.3301,Serbia,SRB,170000
Fuyang,32.9004,115.82,China,CHN,170023
Aracatuba,-21.21,-50.45,Brazil,BRA,170024
Takaoka,36.67,137,Japan,JPN,170077
Burgos,42.3504,-3.68,Spain,ESP,170183
Uvira,-3.37,29.14,Congo (Kinshasa),COD,170391
Temirtau,50.065,72.965,Kazakhstan,KAZ,170600
Djelfa,34.68,3.25,Algeria,DZA,170901
Rijeka,45.33,14.45,Croatia,HRV,170992
Pitesti,44.8563,24.8758,Romania,ROU,171021
Kragujevac,44.02,20.92,Serbia,SRB,171197
Tebessa,35.4104,8.12,Algeria,DZA,171742
Nova Friburgo,-22.26,-42.54,Brazil,BRA,171991
Bade,24.9575,121.2989,Taiwan,TWN,172065
Weinan,34.5004,109.5001,China,CHN,172321
Isparta,37.77,30.53,Turkey,TUR,172334
Banyuwangi,-8.195,114.3696,Indonesia,IDN,172424
Riobamba,-1.67,-78.65,Ecuador,ECU,172464
Vallejo,38.1134,-122.2359,United States,USA,172697
Lishui,28.4504,119.9,China,CHN,172777
Hong Gai,20.9604,107.1,Vietnam,VNM,172915
Ulm,48.4004,10,Germany,DEU,172955
Bata,1.87,9.77,Equatorial Guinea,GNQ,173046
Esmeraldas,0.9304,-79.67,Ecuador,ECU,173101
Stavanger,58.97,5.68,Norway,NOR,173132
Ontario,34.0393,-117.6064,United States,USA,173212
Simla,31.1,77.1666,India,IND,173503
Bida,9.0804,6.01,Nigeria,NGA,173849
Obihiro,42.9304,143.17,Japan,JPN,173890
Saida,33.563,35.3688,Lebanon,LBN,173894
Puerto Cabello,10.4704,-68.17,Venezuela,VEN,174000
Bo,7.97,-11.74,Sierra Leone,SLE,174354
George,-33.95,22.45,South Africa,ZAF,174582
Puerto Montt,-41.47,-72.93,Chile,CHL,174629
Tomakomai,42.6504,141.55,Japan,JPN,174806
Vancouver,45.6352,-122.5972,United States,USA,174826
Garden Grove,33.7787,-117.9601,United States,USA,174858
Hirosaki,40.57,140.47,Japan,JPN,174972
As Samawah,31.3099,45.2803,Iraq,IRQ,174978
Harar,9.32,42.15,Ethiopia,ETH,174994
Yangmei,24.9167,121.15,Taiwan,TWN,175000
Taitung,22.7554,121.14,Taiwan,TWN,175000
Sirjan,29.47,55.73,Iran,IRN,175000
Hemet,33.7352,-116.9946,United States,USA,175066
Entebbe,0.0604,32.46,Uganda,UGA,175128
Bose,23.8997,106.6133,China,CHN,175282
Suva,-18.133,178.4417,Fiji,FJI,175399
Les Cayes,18.2004,-73.75,Haiti,HTI,175457
Oceanside,33.2247,-117.3083,United States,USA,175464
Modena,44.65,10.92,Italy,ITA,175502
Saveh,35.0218,50.3314,Iran,IRN,175533
Turku,60.4539,22.255,Finland,FIN,175945
Salatiga,-7.3095,110.4901,Indonesia,IDN,176000
Santa Cruz,36.9788,-122.0346,United States,USA,176037
Regina,50.45,-104.617,Canada,CAN,176183
Ouargla,31.97,5.34,Algeria,DZA,176271
Yuzhno Sakhalinsk,46.965,142.74,Russia,RUS,176484
Rancho Cucamonga,34.1246,-117.5662,United States,USA,176534
Letpadan,17.7819,95.7415,Burma,MMR,176571
Malayer,34.32,48.85,Iran,IRN,176573
Danbury,41.4016,-73.471,United States,USA,176649
Alappuzha,9.5004,76.37,India,IND,176783
Nyiregyhaza,47.9653,21.7187,Hungary,HUN,176880
Kadugli,11.01,29.7,Sudan,SDN,176931
Vellore,12.9204,79.15,India,IND,177081
Treviso,45.67,12.24,Italy,ITA,177309
High Point,35.9899,-79.9937,United States,USA,177412
El Oued,33.3704,6.86,Algeria,DZA,177497
Sioux Falls,43.5382,-96.7315,United States,USA,177629
Ar Raqqah,35.9304,39.02,Syria,SYR,177636
Termiz,37.2329,67.2729,Uzbekistan,UZB,177687
Korhogo,9.46,-5.64,C����,CIV,177711
Teziutlan,19.8204,-97.36,Mexico,MEX,177796
Nogales,31.305,-110.945,Mexico,MEX,178097
Gastonia,35.2495,-81.1856,United States,USA,178477
Sangolqui,-0.31,-78.46,Ecuador,ECU,178582
Boma,-5.83,13.05,Congo (Kinshasa),COD,178638
El Arish,31.1249,33.8006,Egypt,EGY,178651
Mary,37.6,61.8333,Turkmenistan,TKM,178708
Fort Lauderdale,26.1412,-80.1464,United States,USA,178752
Si Racha,13.159,100.9287,Thailand,THA,178916
Klerksdorp,-26.88,26.62,South Africa,ZAF,178921
Sittwe,20.14,92.88,Burma,MMR,179032
Vizianagaram,18.1204,83.5,India,IND,179358
Clarksville,36.5696,-87.3428,United States,USA,179367
Almeria,36.8303,-2.43,Spain,ESP,179405
Passo Fundo,-28.25,-52.42,Brazil,BRA,179529
Varamin,35.3166,51.6466,Iran,IRN,179603
Phan Rang,11.567,108.9833,Vietnam,VNM,179773
Potosi,-19.5696,-65.75,Bolivia,BOL,179901
Lorain,41.4409,-82.184,United States,USA,179926
Balkh,36.7501,66.8997,Afghanistan,AFG,179969
Zhaodong,46.0804,125.98,China,CHN,179980
Obuasi,6.1904,-1.66,Ghana,GHA,180117
Tangail,24.25,89.92,Bangladesh,BGD,180144
Rio Claro,-22.41,-47.56,Brazil,BRA,180147
Zuwarah,32.9344,12.0791,Libya,LBY,180310
Reggio di Calabria,38.115,15.6414,Italy,ITA,180353
El Jadida,33.2604,-8.51,Morocco,MAR,180470
Funtua,11.5204,7.32,Nigeria,NGA,180475
Castello,39.9704,-0.05,Spain,ESP,180610
Gangneung,37.7559,128.8962,"Korea, South",KOR,180611
Hinthada,17.6483,95.4679,Burma,MMR,180728
Anda,46.4,125.32,China,CHN,181533
Sirsa,29.4904,75.03,India,IND,181639
Probolinggo,-7.7496,113.15,Indonesia,IDN,181656
